taxon,clade,dna_id,voucher_published source,its,b-tubulin,COR1B,COR3,COR16,rbclx,rbclx_phylogroup_haplotype,name_on_the_tree
P. canina (L.) Willd. 1,9,P2159,"Papua New Guinea, Sérusiaux s.n., LG",MH758472,MH770981,MH770210,---,---,---,N/A,9P_koponenii_PapuaNewGuinea_P2159 
P. praetextata (Flörke ex Sommerf.) Zopf,9,P2091,"Canada: ON, Harris 56462, DUKE 0159321",MH758510,MH770999,MH770236,---,---,---,N/A,9P_praetextata_Canada_P2091 
P. aubertii C. W. Dodge,2,P2066,"Chile: Region X, Wheeler & Nelson 5870, CONC",MH758234,---,MH770015,MH770261,---,MH770516,unique,2P_aubertii_Chile_P2066 
P. kristinssonii Vitik.,2,HOB1,"Canada: BC, O'Brien & al. 2013",FJ708952,FJ709345,MH770018,MH770265,---,---,N/A,2P_kristinssonii_CanadaBC_HOB0207086215 
P. patagonica Räsänen,2,P2049,"Argentina, Tibell 17450, UPS 40293",MH758226,---,---,MH770271,---,MH770526,XXVIII,2P_patagonica_Argentina_P2049 
P. sp. 14,2,P1534,"Chile: Region XII, Buck 47968, NY",MH758217,MH770817,---,MH770272,---,MH770527,XXIII,2P_hydrophila_Chile_P1534 
"P. castanea Goward, Goffinet & Mi_dl.",4,P2102,"Russia: Krasnoyarsk Territory, Miadlikowska & Lutzoni s.n., DUKE 0357981",MH758239,---,MH770029,MH770279,---,MH770534,XXXIIIa,4P_castanea_Russia_P2102 
P. didactyla (With.) J. R. Laundon 2,4,NP2,"China: Sichuan, Wang LiSong 10-31861, KUN",MH758243,---,MH770033,MH770283,---,MH770538,XXXIIb,4P_didactyla_China_NP2 
P. sorediifera (Nyl.) Vitik.,4,P2173,"Australia: ACT, Streimann & Curnow 34999, H (CBG 9507177)",MH758256,---,MH770042,MH770291,---,MH770551,V,4P_lambionii_Australia_P2173 
P. antarctica C. W. Dodge,5,P2034,"Argentina, Stenroos 1954, H",MH758270,---,MH770053,MH770302,---,MH770564,XXX,5P_antarctica_Argentina_P2034 
"P. papuana Sérus., Goffinet, Mi_dl. & Vitik.",6,P2178,"Papua New Guinea, E. Sérusiaux 13655, LG",MH758366,MH770885,---,MH770367,---,MH770653,XXXI,6P_papuana_PapuaNewGuinea_P2178 
P. rufescentiformis (Gyeln.) C. W. Dodge,6,P2142,"Kenya, Moberg 3983, UPS L-536565",MH758372,---,MH770112,MH770373,---,MH770660,XXXIX,6P_rufescentiformis_Kenya_P2142 
P. rufescentiformis (Gyeln.) C. W. Dodge,6,P2143,"Kenya, Moberg 4324, UPS L-536552",MH758373,MH770891,MH770113,MH770374,---,MH770661,XXXVII,6P_rufescentiformis_Kenya_P2143 
P. soredians Vitik.,6,P2151,"Ecuador, Kalb 39787, DUKE",MH758348,MH770892,MH770114,MH770375,---,MH770664,XL,6P_laciniata_Ecuador_P2151 
P. neocanina 1,7,HOB26,"Canada:BC, O'Brien & al. 2013",FJ708917,FJ709438,---,MH770382,---,---,N/A,7P_neocanina_CanadaBC_HOB0207086691 
P. erioderma Vain. 2,7,P2163,"Papua New Guinea, Sérusiaux 14107, LG",MH758381,---,MH770133,MH770398,---,MH770689,XXXI,7P_erioderma_PapuaNewGuinea_P2163 
"P. montis-wilhelmii Sérus., Goffinet, Mi_dl. & Vitik. 1",7,P2156,"Papua New Guinea, Sérusiaux s.n., LG",MH758382,MH770912,MH770134,MH770399,---,MH770690,V,7P_montiswilhelmii_PapuaNewGuinea_P2156 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 1,9,P0408,"Colombia, Dumont & al. 4066, H",MH758440,MH770955,MH770185,MH770444,---,MH770743,V,9P_austroamericana_Colombia_P0408 
P. canina (L.) Willd. 2,9,P2126,"USA: NC, Goffinet 4755, DUKE",---,MH770987,MH770217,MH770474,---,MH770778,XXXIV,9P_canina_USA_P2126
P. sp. 22,9,P2074,"Peru, Miadlikowska s.n., DUKE 0357976",MH758499,---,MH770253,MH770504,---,MH770810,XXXIX,9P_sp22_Peru_P2074 
P. malacea (Ach.) Funck,OG,P216,"USA: AK, E. Berg 3072, UBC",---,MH771011,MH770255,MH770506,---,---,N/A,P216_malacea
P. polydactylon (Neck.) Hoffm.,OG,P385,Norway; Magain s.n.; LG,---,KM005820,KX365489,KX373621,KX373632,---,N/A,P385_polydactylon
P. hymenina (Ach.) Delise,OG,P430,"Canada: NL, Lendemer 10397, H",---,KX880099,MF947046,MF946937,MF946831,---,N/A,P430_hymenina
P. scabrosa Th. Fr.,OG,P107,"Canada: QC, Lutzoni & al. s.n., DUKE 0401873",---,KM005791,---,MF947024,MF946916,---,N/A,P107_scabrosa
P. retifoveata Vitik.,1,P0074,"Russia: Sakha Republic, Ahti 61821, H",MH758213,---,MH770010,MH770257,MH769757,MH770508,XXXIIIa,1P_retifoveata_Russia_P0074 
P. retifoveata Vitik.,1,P2100,"USA: AK, Miadlikowska & Lutzoni s.n., DUKE 0357984",MH758215,---,MH770011,MH770258,MH769758,MH770510,XXXIIIa,1P_retifoveata_Alaska_P2100 
P. sp. 13,1,P2225,"China: Yunnan, Goffinet 9974, CONN",MH758216,---,MH770012,---,MH769759,MH770511,VIIIa,1P_sp_China_P2225 
P. aubertii C. W. Dodge,2,P2037,"Chile: Region XII, Goffinet 10559, CONN",MH758230,MH770813,MH770013,MH770259,MH769760,MH770512,XXII,2P_aubertii_Chile_P2037 
P. aubertii C. W. Dodge,2,P2056,"Chile: Region X, Wheeler & Nelson 3191, CONC",MH758233,MH770814,MH770014,MH770260,MH769761,MH770515,XXIII,2P_aubertii_Chile_P2056 
P. frigida R. Sant.,2,P0422,"Chile: Region XII, Stenroos 2192, H",MH758222,MH770815,---,MH770262,MH769762,MH770518,VI,2P_frigida_Chile_P0422 
P. frigida R. Sant.,2,P0427,"Argentina, Stenroos 2158, H",MH758220,MH770816,MH770016,MH770263,MH769763,MH770519,VI,2P_frigida_Argentina_P0427 
P. frigida R. Sant.,2,P2041,"Chile: Region XII, Shaw 18024, DUKE",MH758223,---,MH770017,MH770264,MH769764,MH770521,VI,2P_frigida_Chile_P2041 
P. kristinssonii Vitik.,2,HOB2,"Canada: BC, O'Brien & al. 2013",FJ708944,FJ709341,MH770019,MH770266,MH769765,---,N/A,2P_kristinssonii_CanadaBC_HOB0207087059 
P. kristinssonii Vitik.,2,P1112,"Canada: BC, Goward 11-16, UBC",MH758224,---,MH770020,MH770267,MH769766,MH770522,VI,2P_kristinssonii_NorthAmerica_P1112 
P. kristinssonii Vitik.,2,P1292,"Canada: QC, J. Gagnon s.n., QFA-0594989",MH758225,KM005796,MH770021,MH770268,MH769767,MH770523,VI,2P_kristinssonii_Norway_P1292 
P. patagonica Räsänen,2,P0076,"Chile: Region XI, Rubio 4077, H",MH758227,---,MH770022,MH770269,MH769768,KX923108,XXVIII,2P_patagonica_Chile_P0076 
P. patagonica Räsänen,2,P2013,"Chile: Region XII, Stenroos 2427, H",MH758228,---,MH770023,MH770270,MH769769,MH770524,XXVIII,2P_patagonica_Chile_P2013 
P. sp. 14,2,P2039,"Chile: Region XII, Shaw 17848, DUKE 0401861",MH758218,MH770818,MH770024,MH770273,MH769770,MH770528,XXIII,2P_hydrophila_Chile_P2039 
P. sp. 14,2,P2062,"Chile: Region X, Wheeler & Nelson 5191, CONC",MH758219,MH770819,---,MH770274,MH769771,MH770529,XXIII,2P_hydrophila_Chile_P2062 
P. sp. 16,2,P2186,"USA: OR, McCune 31966, OSC",MH758235,---,MH770025,MH770275,MH769772,MH770530,XXX,2P_sp16_USA_P2186 
P. continentalis Vitik.,3,NP29,"China: Ningxia, Niu Dongling 12-0087, Ningxia Univ.",MH758236,MH770820,MH770026,MH770276,MH769773,MH770531,XXXIIc,3P_continentalis_China_NP29 
P. continentalis Vitik.,3,P1810,"Russia: Krasnoyarsk Territory, Miadlikowska & Lutzoni s.n., DUKE 0357965",MH758237,KM005807,MH770027,MH770277,MH769774,MH770532,XXXIX,3P_continentalis_Russia_P1810 
P. continentalis Vitik.,3,P2099,"Russia: Krasnoyarsk Territory, Miadlikowska & Lutzoni s.n., DUKE 0357969",MH758238,MH770821,MH770028,MH770278,MH769775,MH770533,XXXIX,3P_continentalis_Russia_P2099 
P. didactyla (With.) J. R. Laundon 3,4,P2109,"USA: PA, Lendemer 13269, DUKE 0154812",MH758245,---,---,---,MH769776,MH770540,XXXV,4P_didactyla_USA_P2109 
P. didactyla (With.) J. R. Laundon 1,4,P2140=P1812,"Belgium, Magain s.n., DUKE 0357985",MH758240,---,MH770030,MH770280,MH769777,MH770535,unique,4P_didactyla_Belgium_P2140 
P. didactyla (With.) J. R. Laundon 1,4,P2144,"Norway, Magain s.n., LG",MH758244,---,MH770031,MH770281,MH769778,---,N/A,4P_didactyla_Norway_P2144 
P. didactyla (With.) J. R. Laundon 1,4,P2200,"USA: UT; Truong 3991, DUKE 0401851",MH758246,---,MH770032,MH770282,MH769779,MH770537,XXX,4P_didactyla_USA_P2200 
P. extenuata (Nyl. ex Vain.) Lojka 1,4,P2064,"Chile: Region XI, Wheeler & Nelson 6297, CONC",MH758247,---,MH770035,MH770284,MH769780,MH770544,XXXIIIb,4P_extenuata_Chile_P2064 
P. extenuata (Nyl. ex Vain.) Lojka 1,4,P2103,"Russia: Krasnoyarsk Territory, Miadlikowska & Lutzoni s.n., DUKE 0357970",MH758252,---,MH770036,MH770285,MH769781,MH770545,XXXIIIb,4P_extenuata_Russia_P2103 
P. extenuata (Nyl. ex Vain.) Lojka 1,4,P2104,"USA: MI, Miadlikowska & Lutzoni s.n., DUKE 0357972",MH758253,---,MH770037,MH770286,MH769782,MH770546,XXXIIIb,4P_extenuata_USA_P2104 
P. extenuata (Nyl. ex Vain.) Lojka 1,4,P2111,"USA: NY, Harris 53633, DUKE 0138925",MH758254,---,MH770038,MH770287,MH769783,MH770547,XXXIIIb,4P_extenuata_USA_P2111 
P. extenuata (Nyl. ex Vain.) Lojka 2,4,P0943,"Colombia, Lücking 33627, UDBC",MH758248,---,MH770039,MH770288,MH769784,MH770548,XXI,4P_extenuata_Colombia_P0943 
P. extenuata (Nyl. ex Vain.) Lojka 2,4,P2057,"Ecuador: Galapagos, Spielmann 10611, CDS-51978",MH758249,---,MH770040,MH770289,MH769785,MH770549,XXI,4P_extenuata_Ecuador_P2057 
P. sorediifera (Nyl.) Vitik.,4,P2146,"Australia, NSW, Streimann 50996, H",MH758255,---,MH770041,MH770290,MH769786,MH770550,V,4P_lambionii_Australia_P2146 
P. ulcerata Müll. Arg. 1,4,P0048,"Costa Rica, Miadlikowska & Lutzoni 23.03.03-31, DUKE 0357987",MH758264,---,MH770043,MH770292,MH769787,MH770554,XXXIXc,4P_ulcerata_CostaRica_P0048 
P. ulcerata Müll. Arg. 1,4,P2063,"Chile: Region X, Wheeler & Nelson 5444, CONC",MH758259,---,MH770044,MH770293,MH769788,MH770555,V,4P_ulcerata_Chile_P2063 
P. ulcerata Müll. Arg. 1,4,P2105,"Peru, Lutzoni s.n., DUKE 0357986",MH758265,---,MH770045,MH770294,MH769789,MH770556,unique,4P_ulcerata_Peru_P2105 
P. ulcerata Müll. Arg. 1,4,P2148,"Colombia, Lücking DNA1190, UDBC",MH758260,---,MH770046,MH770295,MH769790,MH770557,XXXIXc,4P_ulcerata_Colombia_P2148 
P. ulcerata Müll. Arg. 2 ,4,P2154=P1838,"Brazil: Rio, Marcelli & al. 25096, H",MH758258,---,MH770047,MH770296,MH769791,MH770558,N/A,4P_ulcerata_Brazil_P2154 
P. ulcerata Müll. Arg. 2 ,4,P2216,"Australia: NSW, Elix 35980, H (CBG 9616513)",MH758257,---,MH770048,MH770297,MH769792,MH770559,V,4P_ulcerata_Australia_P2216 
P. vainioi Gyeln.,4,P2115,"Colombia, Miadlikowska s.n., ANDES",MH758268,---,MH770049,MH770298,MH769793,MH770561,XXVIa,4P_vainioi_Colombia_P2115 
P. vainioi Gyeln.,4,P2196,"Ecuador, Truong 3983, DUKE 0401860",MH758269,---,MH770050,MH770299,MH769794,MH770562,XXVIa,4P_vainioi_Ecuador_P2196 
P. antarctica C. W. Dodge,5,P0077,"Chile: Region XII, Goffinet 6837, CONN ",MH758271,MH770824,MH770051,MH770300,MH769795,KX923110,VI,5P_antarctica_Chile_P0077 
P. antarctica C. W. Dodge,5,P0442,"Chile: Region XI, Rubio 4073, H",MH758272,MH770825,MH770052,MH770301,MH769796,MH770563,VI,5P_antarctica_Chile_P0442 
P. antarctica C. W. Dodge,5,P2044,"Chile: Region XII, Goffinet 10521-2, CONN",MH758273,MH770827,MH770054,MH770303,MH769797,MH770565,XXV,5P_antarctica_Chile_P2044 
P. antarctica C. W. Dodge,5,P2065,"Chile: Region X, Wheeler & Nelson 5893, CONC",MH758274,MH770828,MH770055,MH770304,MH769798,MH770566,unique,5P_antarctica_Chile_P2065 
P. ponojensis Gyeln./monticola Vitik. 10a,5,P2000,"USA: CA, Arnold 73, YOSE 221393",MH758311,MH770829,---,MH770305,MH769799,MH770567,unique,5P_monticola_USA_P2000 
P. ponojensis Gyeln./monticola Vitik. 10a,5,P2168,"USA: CA, McCune 28024, OSC ",MH758313,MH770830,MH770056,MH770306,MH769800,MH770568,unique,5P_monticola_USA_P2168 
P. ponojensis Gyeln./monticola Vitik. 10a,5,P2187,"USA: CA, McCune 29670, OSC ",MH758314,MH770831,MH770057,MH770307,MH769801,MH770569,VI,5P_monticola_USA_P2187 
P. ponojensis Gyeln./monticola Vitik. 10b,5,P2114,"USA: UT, Truong & N. Magain s.n., DUKE 0357983",MH758312,MH770832,MH770058,MH770308,MH769802,MH770570,XXX,5P_monticola_USA_P2114 
P. ponojensis Gyeln./monticola Vitik. 1a,5,P0084,"USA: PA, Lendemer 13556, H",MH758276,MH770833,MH770059,MH770309,MH769803,KX923111,XXXV,5P_ponojensis_USA_P0084 
P. ponojensis Gyeln./monticola Vitik. 1a,5,P1106,"Canada: BC, Goward 7-187, UBC",MH758277,---,MH770060,---,MH769804,MH770571,XXX,5P_ponojensis_NorthAmerica_P1106 
P. ponojensis Gyeln./monticola Vitik. 1a,5,P1108,"Canada: BC, T. Goward 07-234a, UBC",MH758283,---,MH770061,---,MH769805,MH770572,XXVII,5P_ponojensis_NorthAmerica_P1108 
P. ponojensis Gyeln./monticola Vitik. 1a,5,P1486,"USA: ME, Harris 55417, NY 01103744",MH758278,---,---,---,MH769806,MH770573,XXX,5P_ponojensis_USA_P1486 
P. ponojensis Gyeln./monticola Vitik. 1a,5,P2003,"Canada: MB, Ahti 62717, H",MH758279,MH770834,---,MH770310,MH769807,MH770574,XXI,5P_ponojensis_Canada_P2003 
P. ponojensis Gyeln./monticola Vitik. 1a,5,P2028,"USA: MO, Harris 48184, NY 01180306",MH758280,MH770835,MH770062,MH770311,MH769808,MH770575,XXXV,5P_ponojensis_USA_P2028 
P. ponojensis Gyeln./monticola Vitik. 1a,5,P2180,"USA: OR, McCune 29956, OSC",MH758281,MH770836,MH770063,MH770312,MH769809,MH770576,XXVII,5P_ponojensis_USA_P2180 
P. ponojensis Gyeln./monticola Vitik. 1a,5,P2181,"Canada: AB, Miadlikowska & Lutzoni s.n., DUKE 0401809",MH758282,MH770837,MH770064,MH770313,MH769810,MH770577,XXXIIIa,5P_ponojensis_Canada_P2181 
P. ponojensis Gyeln./monticola Vitik. 1b,5,P2204,"USA: UT, Truong 4045, DUKE 0401866",MH758284,MH770838,MH770065,MH770314,MH769811,MH770578,XXX,5P_ponojensis_USA_P2204 
P. ponojensis Gyeln./monticola Vitik. 2,5,P2004,"Germany, Türk 34539, H",MH758285,MH770839,---,MH770315,MH769812,MH770579,XXX,5P_ponojensis_Germany_P2004 
P. ponojensis Gyeln./monticola Vitik. 2,5,P2132,"France, Magain s.n., LG",MH758286,MH770840,MH770066,MH770316,MH769813,---,N/A,5P_ponojensis_France_P2132 
P. ponojensis Gyeln./monticola Vitik. 2,5,P2175,"Switzerland, Vust 1687, G.",MH758287,MH770841,MH770067,MH770317,MH769814,MH770580,XXX,5P_ponojensis_Switzerland_P2175 
P. ponojensis Gyeln./monticola Vitik. 4,5,P0444,"USA: KS, Buck 46381, NY 881403",MH758288,MH770842,---,MH770318,MH769815,MH770581,XXXIV,5P_ponojensis_USA_P0444 
P. ponojensis Gyeln./monticola Vitik. 4,5,P2027,"USA: MO, Harris 45692, NY",MH758289,MH770843,MH770068,MH770319,MH769816,MH770582,XXXIV,5P_ponojensis_USA_P2027 
P. ponojensis Gyeln./monticola Vitik. 4,5,P2029,"USA: AR, Buck 46600, NY 0050439",MH758290,MH770844,MH770069,MH770320,MH769817,MH770583,XXXIV,5P_ponojensis_USA_P2029 
P. ponojensis Gyeln./monticola Vitik. 4,5,P2085,"USA: AR, Majestyk 8060, DUKE 0401845",MH758291,MH770845,MH770070,MH770321,MH769818,MH770584,XXI,5P_ponojensis_USA_P2085 
P. ponojensis Gyeln./monticola Vitik. 5a,5,P0192,"India: Uttarakhand, Divakar s.n., MAF",MH758293,MH770846,MH770071,MH770322,MH769819,MH770585,XXXII,5P_ponojensis_India_P0192 
P. ponojensis Gyeln./monticola Vitik. 5a,5,P1287,"China: Yunnan, Rosentreter 15, DUKE 0401846",MH758292,MH770847,MH770072,MH770323,MH769820,MH770586,XXXVII,5P_ponojensis_China_P1287 
P. ponojensis Gyeln./monticola Vitik. 5b,5,HOB29,"Canada: BC, O'Brien & al. 2013",FJ709040,FJ709449,---,MH770324,MH769821,---,N/A,5P_ponojensis_CanadaBC_HOB0207087014 
P. ponojensis Gyeln./monticola Vitik. 6,5,P0834,"Norway, Magain s.n., LG",MH758294,---,---,MH770325,MH769822,---,N/A,5P_monticola_Norway_P0834 
P. ponojensis Gyeln./monticola Vitik. 6,5,P2167,"China: Yunnan, Miadlikowska s.n., DUKE 0401815",MH758295,MH770848,---,MH770326,MH769823,MH770589,XXXIIc,5P_monticola_China_P2167 
P. ponojensis Gyeln./monticola Vitik. 7,5,P0075,"Norway, Ahti 65831, H",MH758296,KM005825,MH770073,MH770327,MH769824,KX923104,XLII,5P_monticola_Norway_P0075 
P. ponojensis Gyeln./monticola Vitik. 7,5,P2220,"USA: CA, McCune 30357, OSC ",MH758297,MH770849,MH770074,MH770328,MH769825,MH770590,unique,5P_monticola_USA_P2220 
P. ponojensis Gyeln./monticola Vitik. 8,5,P2087,"USA: UT, Buck 55054, NY01136425",MH758298,MH770850,MH770075,MH770329,MH769826,MH770591,XXXVIIIb,5P_ponojensis_USA_P2087 
P. ponojensis Gyeln./monticola Vitik. 8,5,P2185,"Canada: BC, Goward 5302, UBC",MH758299,MH770851,MH770076,MH770330,MH769827,MH770592,XXX,5P_ponojensis_CanadaBC_P2185 
P. ponojensis Gyeln./monticola Vitik. 8,5,P2206,"USA: UT, Truong 4048, DUKE 040189",MH758300,---,MH770077,MH770331,MH769828,MH770593,XXX,5P_ponojensis_USA_P2206 
P. ponojensis Gyeln./monticola Vitik. 8,5,P2208,"USA: UT, Truong 4001, DUKE 0401848",MH758302,MH770852,MH770078,MH770332,MH769829,MH770595,XXX,5P_ponojensis_USA_P2208 
P. ponojensis Gyeln./monticola Vitik. 8,5,P2214,"Canada: BC, Goward 5300, UBC",MH758305,MH770853,MH770079,MH770333,MH769830,MH770597,VI,5P_ponojensis_CanadaBC_P2214 
P. ponojensis Gyeln./monticola Vitik. 8,5,P2215,"USA: OR, Hardman s.n., DUKE0158521",MH758304,MH770854,MH770080,MH770334,MH769831,MH770598,XXX,5P_ponojensis_USA_P2215 
P. ponojensis Gyeln./monticola Vitik. 9,5,NP20,"China: Ningxia, Niu Dongling 12-0005, Ningxia Univ.",MH758307,MH770855,MH770081,MH770335,MH769832,MH770599,XXX,5P_monticola_China_NP20 
P. ponojensis Gyeln./monticola Vitik. 9,5,P0073,"Austria, Türk 37593, H",MH758310,KM005824,MH770082,MH770336,MH769833,KX923103,XXX,5P_monticola_Austria_P0073 
P. ponojensis Gyeln./monticola Vitik. 9,5,P0419,"Russia: Dagestan, Urbanavichus 0902150, H",MH758308,MH770856,---,MH770337,MH769834,MH770590,XXX,5P_monticola_Russia_P0419 
P. ponojensis Gyeln./monticola Vitik. 9,5,P2127,"Switzerland, Vust s.n., G.",MH758309,MH770857,MH770083,MH770338,MH769835,MH770591,V,5P_monticola_Switzerland_P2127 
P. sp. 17,5,P1728,"Peru, Lutzoni 05.22.2012-8, DUKE 0401804",MH758320,MH770858,MH770084,MH770339,MH769836,MH770610,XXVIb,5P_sp17_Peru_P1728 
P. sp. 17,5,P2164,"Peru, Miadlikowska s.n., DUKE 0357990",MH758321,MH770859,MH770085,MH770340,MH769837,MH770611,XXVIb,5P_sp17_Peru_P2164 
P. sp. 17,5,P2165,"Peru, Lutzoni s.n., DUKE 0401811",---,MH770860,MH770086,MH770341,MH769838,MH770612,XXVIb,5P_sp17_Peru_P2165
P. sp. 17,5,P2195,"Ecuador, Truong 3976, DUKE 0401864",MH758315,MH770861,MH770087,MH770342,MH769839,MH770613,XXXIX,5P_sp17_Ecuador_P2195 
P. neorufescens 1,6,P2061,"Mexico, Barcenas-Peña 1229, MEXU",MH758362,MH770862,MH770088,MH770343,MH769840,MH770614,unique,6P_neorufescens_Mexico_P2061 
P. neorufescens 1,6,P2072,"Costa Rica, Miadlikowska & al. s.n., DUKE 0401820",MH758360,MH770863,MH770089,MH770344,MH769841,MH770613,XXXVI,6P_neorufescens_CostaRica_P2072 
P. neorufescens 2,6,P2046,"Bolivia, Kukwa 8958, Ex UGDA-L-17704, DUKE dupl. 0401871",MH758357,MH770864,MH770090,MH770345,MH769842,MH770614,VI,6P_neorufescens_Bolivia_P2046 
P. neorufescens 2,6,P2053,"Peru, Bennett s.n., WIS",MH758363,MH770865,MH770091,MH770346,MH769843,MH770615,VI,6P_neorufescens_Peru_P2053 
P. neorufescens 3,6,P2184,"Germany, Sipman 53601, B 600127393",MH758361,MH770866,MH770092,MH770347,MH769844,MH770616,unique,6P_neorufescens_Germany_P2184 
P. neorufescens 4,6,P2229,"Canada: AB, Miadlikowska & Lutzoni s.n., DUKE 0401823",MH758359,MH770867,MH770093,MH770348,MH769845,MH770617,XXX,6P_neorufescens_Canada_P2229 
P. “neorufescens” 5,6,P2086,"Canada: YT, Lendemer 28945, NY 0159332",MH758358,MH770868,---,MH770349,MH769846,MH770618,XLI,6P_neorufescens_Canada_P2086 
P. “neorufescens” 6,6,P2205,"USA: UT, Truong 4023, DUKE 0401868",MH758364,MH770869,---,MH770350,MH769847,MH770619,XXXVIIIb,6P_neorufescens_USA_P2205 
